Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,23,Oklahoma City Thunder,65,1011,9.5,.550,.726,.153,1.7,7.0,4.3,5.5,1.7,0.6,8.1,15.7,,1.0,0.9,1.9,.089,,-0.6,-2.3,-2.9,-0.2
2,Quincy Acy\acyqu01,PF,26,TOT,35,514,12.6,.581,.526,.385,3.8,18.3,11.1,4.8,1.2,2.1,9.4,17.0,,0.6,0.5,1.0,.095,,-1.5,-1.2,-2.7,-0.1
3,Quincy Acy\acyqu01,PF,26,Dallas Mavericks,6,48,-1.4,.355,.412,.176,4.7,15.4,9.7,0.0,0.0,0.0,9.8,20.0,,-0.2,0.0,-0.1,-0.132,,-10.1,-6.0,-16.1,-0.2
4,Quincy Acy\acyqu01,PF,26,Brooklyn Nets,29,466,14.1,.606,.540,.410,3.7,18.7,11.3,5.2,1.3,2.3,9.4,16.6,,0.7,0.4,1.2,.119,,-0.6,-0.6,-1.3,0.1
5,Steven Adams\adamsst01,C,23,Oklahoma City Thunder,74,2230,16.4,.594,.003,.401,12.5,15.6,14.0,5.4,1.8,2.7,16.2,16.3,,3.1,2.9,6.0,.128,,-0.8,1.2,0.5,1.4
6,Arron Afflalo\afflaar01,SG,31,Sacramento Kings,59,1526,8.7,.554,.369,.224,0.7,8.4,4.6,7.0,0.7,0.4,8.2,14.5,,1.0,0.2,1.3,.040,,-1.5,-2.1,-3.6,-0.6
7,Alexis Ajinca\ajincal01,C,28,New Orleans Pelicans,34,475,11.9,.511,.023,.233,8.6,23.8,16.2,3.2,1.8,3.5,15.1,16.1,,-0.1,0.8,0.7,.073,,-5.6,1.7,-3.9,-0.2
8,Cole Aldrich\aldrico01,C,28,Minnesotta Timberwolves,60,509,13.1,.563,.000,.275,11.1,24.3,17.6,6.7,2.5,3.9,15.1,9.2,,0.6,0.7,1.4,.128,,-1.8,3.0,1.2,0.4
9,LaMarcus Aldridge\aldrila01,PF,31,San Antonio Spurs,67,2190,18.6,.531,.052,.268,8.9,16.9,13.0,10.4,0.9,3.0,7.8,24.7,,3.4,3.4,6.8,.150,,-0.2,1.2,1.0,1.7
10,Lavoy Allen\allenla01,PF,27,Indiana Pacers,58,848,11.3,.480,.006,.199,13.2,14.4,13.8,8.9,1.2,2.3,13.8,10.7,,0.8,0.7,1.5,.086,,-1.8,1.4,-0.4,0.3
11,Tony Allen\allento01,SG,35,Memphis Grizzlies,67,1840,12.9,.489,.092,.225,9.5,13.8,11.6,8.2,3.1,1.5,13.6,17.8,,0.0,2.8,2.8,.073,,-2.0,2.5,0.6,1.2
12,Al-Farouq Aminu\aminual01,SF,26,Portland Trailblazers,56,1612,11.0,.506,.448,.288,4.6,24.1,14.3,8.0,1.7,1.8,15.8,15.3,,-0.2,1.8,1.5,.046,,-2.5,1.1,-1.4,0.2
13,Chris Andersen\anderch01,C,38,Cleveland Cavaliers,12,114,11.6,.497,.136,.636,9.0,20.6,15.0,5.9,2.2,4.9,15.1,12.9,,0.1,0.2,0.2,.101,,-3.8,2.9,-0.9,0.0
