Year,Player,Team,Number
1946-47,Leon Brown,CLR,UNK
1946-47,Ken Corley,CLR,UNK
1946-47,Ben Goldfaden,WSC,UNK
1946-47,Pete Lalich,CLR,UNK
1946-47,Ed Melvin,PIT,UNK
1946-47,Bob Rensberger,CHS,UNK
1946-47,Gino Sovran,TRH,UNK
1946-47,John Abramovic,PIT,3
1946-47,Ernie Calverley,PRO,3
1946-47,Bob Cluggish,NYK,3
1946-47,Bill Davis,CHS,3
1946-47,Mel Hirsch,BOS,3
1946-47,Charlie Hoefer,BOS,3
1946-47,George Munroe,STB,3
1946-47,Mel Riebe,CLR,3
1946-47,Michael Bytzura,PIT,4
1946-47,Frido Frey,NYK,4
1946-47,Wyndol Gray,BOS,4
1946-47,Fred Jacobs,STB,4
1946-47,Dino Martin,PRO,4
1946-47,Nat Militzok,NYK,4
1946-47,Marty Passaglia,WSC,4
1946-47,Kenny Sailors,CLR,4
1946-47,Fred Sheffield,PHW,4
1946-47,Buck Sydnor,CHS,4
1946-47,Frankie Baumholtz,CLR,5
1946-47,Moe Becker,BOS,5
1946-47,Bob Doll,STB,5
1946-47,Ralph Kaplowitz,NYK,5
1946-47,Tony Kappen,BOS,5
1946-47,Lee Knorek,NYK,5
1946-47,Frank Mangiapane,NYK,5
1946-47,Dick Murphy,BOS,5
1946-47,Angelo Musi,PHW,5
1946-47,George Pastushok,PRO,5
1946-47,Jim Seminoff,CHS,5
1946-47,Lou Spicer,PRO,5
1946-47,Jake Weber,PRO,5
1946-47,Herschel Baltimore,STB,6
1946-47,Moe Becker,PIT,6
1946-47,Hank Beenders,PRO,6
1946-47,Jerry Fleishman,PHW,6
1946-47,Coulby Gunther,PIT,6
1946-47,Hank Lefkowitz,CLR,6
1946-47,Red Mihalik,PIT,6
1946-47,Buddy O'Grady,WSC,6
1946-47,Irv Rothenberg,CLR,6
1946-47,Mickey Rottner,CHS,6
1946-47,Ossie Schectman,NYK,6
1946-47,Johnny Simmons,BOS,6
1946-47,Tom Callahan,PRO,7
1946-47,Warren Fenley,BOS,7
1946-47,Chuck Gilmur,CHS,7
1946-47,Roger Jorgensen,PIT,7
1946-47,Grady Lewis,DTF,7
1946-47,John Logan,STB,7
1946-47,Walt Miller,PIT,7
1946-47,Leo Mogus,CLR,7
1946-47,Elmore Morgenthaler,PRO,7
1946-47,Jerry Rullo,PHW,7
1946-47,Ed Sadowski,CLR,7
1946-47,Stan Stutz,NYK,7
1946-47,John Barr,STB,8
1946-47,Al Brightman,BOS,8
1946-47,Red Dehnert,PRO,8
1946-47,Sonny Hertzberg,NYK,8
1946-47,Harold Johnson,DTF,8
1946-47,Stan Noszka,PIT,8
1946-47,Doyle Parrack,CHS,8
1946-47,Don Putman,STB,8
1946-47,Hank Rosenstein,PRO,8
1946-47,Ben Scharnus,CLR,8
1946-47,George Senesky,PHW,8
1946-47,Aubrey Davis,STB,9
1946-47,Gorham Getchell,PIT,9
1946-47,Leo Gottlieb,NYK,9
1946-47,Cecil Hankins,STB,9
1946-47,Ralph Kaplowitz,PHW,9
1946-47,Ken Keller,PRO,9
1946-47,Harold Kottman,BOS,9
1946-47,John Murphy,PHW,9
1946-47,Garland O'Shields,CHS,9
1946-47,Nick Shaback,CLR,9
1946-47,Jake Weber,PRO,9
1946-47,Aubrey Davis,STB,10
1946-47,Bob Faught,CLR,10
1946-47,Bob Feerick,WSC,10
1946-47,Bob Fitzgerald,NYK,10
1946-47,Dick Fitzgerald,TRH,10
1946-47,Joe Fulks,PHW,10
1946-47,George Mearns,PRO,10
1946-47,Bob Mullens,NYK,10
1946-47,Connie Simmons,BOS,10
1946-47,Deb Smith,STB,10
1946-47,Max Zaslofsky,CHS,10
1946-47,Chuck Connors,BOS,11
1946-47,Bob Fitzgerald,TRH,11
1946-47,Pop Goodwin,PRO,11
1946-47,Cecil Hankins,STB,11
1946-47,Kleggie Hermsen,CLR,11
1946-47,Tom King,DTF,11
1946-47,John Mills,PIT,11
1946-47,Bob Mullens,TRH,11
1946-47,Dick Murphy,NYK,11
1946-47,George Nostrand,CLR,11
1946-47,Deb Smith,STB,11
1946-47,Butch Van Breda Kolff,NYK,11
1946-47,Jake Weber,NYK,11
1946-47,Aud Brindley,NYK,12
1946-47,Howie Dallmar,PHW,12
1946-47,Ned Endress,CLR,12
1946-47,Frank Fucarino,TRH,12
1946-47,Fred Jacobs,STB,12
1946-47,Wilbert Kautz,CHS,12
1946-47,John Mahnken,WSC,12
1946-47,Press Maravich,PIT,12
1946-47,John Murphy,NYK,12
1946-47,Hank Rosenstein,NYK,12
1946-47,Giff Roux,STB,12
