Season,Name,Type
1996-97,Cory Alexander,Player
1996-97,Greg Anderson,Player
1996-97,Joe Courtney,Player
1996-97,Vinny Del Negro,Player
1996-97,Sean Elliott,Player
1996-97,Jamie Feick,Player
1996-97,Devin Gray,Player
1996-97,Darrin Hancock,Player
1996-97,Carl Herrera,Player
1996-97,Stephen Howard,Player
1996-97,Avery Johnson,Player
1996-97,Tim Kempton,Player
1996-97,Vernon Maxwell,Player
1996-97,Gaylon Nickerson,Player
1996-97,Will Perdue,Player
1996-97,David Robinson,Player
1996-97,Jason Sasser,Player
1996-97,Charles Smith,Player
1996-97,Dominique Wilkins,Player
1996-97,Monty Williams,Player
1996-97,Mike Budenholzer,Coach
1996-97,Hank Egan,Coach
1996-97,Paul Pressey,Coach
1997-98,Cory Alexander,Player
1997-98,Willie Burton,Player
1997-98,Vinny Del Negro,Player
1997-98,Tim Duncan,Player
1997-98,Sean Elliott,Player
1997-98,Reggie Geary,Player
1997-98,Carl Herrera,Player
1997-98,Jaren Jackson,Player
1997-98,Avery Johnson,Player
1997-98,Brad Lohaus,Player
1997-98,Will Perdue,Player
1997-98,Chuck Person,Player
1997-98,David Robinson,Player
1997-98,Malik Rose,Player
1997-98,Monty Williams,Player
1997-98,Mike Budenholzer,Coach
1997-98,Hank Egan,Coach
1997-98,Paul Pressey,Coach
1998-99,Antonio Daniels,Player
1998-99,Tim Duncan,Player
1998-99,Mario Elie,Player
1998-99,Sean Elliott,Player
1998-99,Andrew Gaze,Player
1998-99,Jaren Jackson,Player
1998-99,Avery Johnson,Player
1998-99,Steve Kerr,Player
1998-99,Jerome Kersey,Player
1998-99,Gerard King,Player
1998-99,Will Perdue,Player
1998-99,David Robinson,Player
1998-99,Malik Rose,Player
1998-99,Brandon Williams,Player
1998-99,Mike Budenholzer,Coach
1998-99,Hank Egan,Coach
1998-99,Paul Pressey,Coach
1999-00,Chucky Brown,Player
1999-00,Antonio Daniels,Player
1999-00,Derrick Dial,Player
1999-00,Tim Duncan,Player
1999-00,Mario Elie,Player
1999-00,Sean Elliott,Player
1999-00,Jaren Jackson,Player
1999-00,Avery Johnson,Player
1999-00,Steve Kerr,Player
1999-00,Jerome Kersey,Player
1999-00,Terry Porter,Player
1999-00,David Robinson,Player
1999-00,Malik Rose,Player
1999-00,Felton Spencer,Player
1999-00,Samaki Walker,Player
1999-00,Mike Budenholzer,Coach
1999-00,Hank Egan,Coach
1999-00,Paul Pressey,Coach
2000-01,Derek Anderson,Player
2000-01,Antonio Daniels,Player
2000-01,Derrick Dial,Player
2000-01,Tim Duncan,Player
2000-01,Sean Elliott,Player
2000-01,Danny Ferry,Player
2000-01,Jaren Jackson,Player
2000-01,Avery Johnson,Player
2000-01,Steve Kerr,Player
2000-01,Ira Newble,Player
2000-01,Terry Porter,Player
2000-01,David Robinson,Player
2000-01,Malik Rose,Player
2000-01,Shawnelle Scott,Player
2000-01,Samaki Walker,Player
2000-01,Mike Brown,Coach
2000-01,Mike Budenholzer,Coach
2000-01,Hank Egan,Coach
2001-02,Bruce Bowen,Player
2001-02,Mark Bryant,Player
2001-02,Antonio Daniels,Player
2001-02,Tim Duncan,Player
2001-02,Danny Ferry,Player
2001-02,Jason Hart,Player
2001-02,Stephen Jackson,Player
2001-02,Amal McCaskill,Player
2001-02,Tony Parker,Player
2001-02,Cherokee Parks,Player
2001-02,Terry Porter,Player
2001-02,David Robinson,Player
2001-02,Malik Rose,Player
2001-02,Charles Smith,Player
2001-02,Steve Smith,Player
2001-02,Mike Brown,Coach
2001-02,Mike Budenholzer,Coach
2001-02,Hank Egan,Coach
2002-03,Mengke Bateer,Player
2002-03,Bruce Bowen,Player
2002-03,Devin Brown,Player
2002-03,Speedy Claxton,Player
2002-03,Tim Duncan,Player
2002-03,Danny Ferry,Player
2002-03,Manu Ginobili,Player
2002-03,Anthony Goldwire,Player
2002-03,Stephen Jackson,Player
2002-03,Steve Kerr,Player
2002-03,Tony Parker,Player
2002-03,David Robinson,Player
2002-03,Malik Rose,Player
2002-03,Steve Smith,Player
2002-03,Kevin Willis,Player
2002-03,Mike Brown,Coach
2002-03,Mike Budenholzer,Coach
2002-03,P.J. Carlesimo,Coach
2003-04,Bruce Bowen,Player
2003-04,Devin Brown,Player
2003-04,Matt Carroll,Player
2003-04,Anthony Carter,Player
2003-04,Tim Duncan,Player
2003-04,Alex Garcia,Player
2003-04,Manu Ginobili,Player
2003-04,Jason Hart,Player
2003-04,Shane Heal,Player
2003-04,Robert Horry,Player
2003-04,Ron Mercer,Player
2003-04,Rasho Nesterovic,Player
2003-04,Tony Parker,Player
2003-04,Malik Rose,Player
2003-04,Hedo Turkoglu,Player
2003-04,Charlie Ward,Player
2003-04,Kevin Willis,Player
2003-04,Mike Budenholzer,Coach
2003-04,P.J. Carlesimo,Coach
2003-04,Mario Ellie,Coach
2004-05,Brent Barry,Player
2004-05,Bruce Bowen,Player
2004-05,Devin Brown,Player
2004-05,Tim Duncan,Player
2004-05,Manu Ginobili,Player
2004-05,Dion Glover,Player
2004-05,Robert Horry,Player
2004-05,Linton Johnson,Player
2004-05,Sean Marks,Player
2004-05,Tony Massenburg,Player
2004-05,Nazr Mohammed,Player
2004-05,Rasho Nesterovic,Player
2004-05,Tony Parker,Player
2004-05,Glenn Robinson,Player
2004-05,Malik Rose,Player
2004-05,Beno Udrih,Player
2004-05,Mike Wilks,Player
2004-05,Brett Brown,Coach
2004-05,Mike Budenholzer,Coach
2004-05,P.J. Carlesimo,Coach
2004-05,Don Newman,Coach
2005-06,Brent Barry,Player
2005-06,Bruce Bowen,Player
2005-06,Tim Duncan,Player
2005-06,Michael Finley,Player
2005-06,Manu Ginobili,Player
2005-06,Robert Horry,Player
2005-06,Sean Marks,Player
2005-06,Nazr Mohammed,Player
2005-06,Rasho Nesterovic,Player
2005-06,Fabricio Oberto,Player
2005-06,Tony Parker,Player
2005-06,Melvin Sanders,Player
2005-06,Alex Scales,Player
2005-06,Beno Udrih,Player
2005-06,Nick Van Exel,Player
2005-06,Brett Brown,Coach
2005-06,Mike Budenholzer,Coach
2005-06,P.J. Carlesimo,Coach
2005-06,Chip Engelland,Coach
2005-06,Don Newman,Coach
2006-07,Brent Barry,Player
2006-07,Matt Bonner,Player
2006-07,Bruce Bowen,Player
2006-07,Jackie Butler,Player
2006-07,Tim Duncan,Player
2006-07,Francisco Elson,Player
2006-07,Melvin Ely,Player
2006-07,Michael Finley,Player
2006-07,Manu Ginobili,Player
2006-07,Robert Horry,Player
2006-07,Fabricio Oberto,Player
2006-07,Tony Parker,Player
2006-07,Beno Udrih,Player
2006-07,Jacque Vaughn,Player
2006-07,James White,Player
2006-07,Eric Williams,Player
2006-07,Brett Brown,Coach
2006-07,Mike Budenholzer,Coach
2006-07,P.J. Carlesimo,Coach
2006-07,Chip Engelland,Coach
2006-07,Don Newman,Coach
2007-08,Brent Barry,Player
2007-08,Matt Bonner,Player
2007-08,Bruce Bowen,Player
2007-08,Tim Duncan,Player
2007-08,Francisco Elson,Player
2007-08,Michael Finley,Player
2007-08,Manu Ginobili,Player
2007-08,Robert Horry,Player
2007-08,DerMarr Johnson,Player
2007-08,Bobby Jones,Player
2007-08,Keith Langford,Player
2007-08,Ian Mahinmi,Player
2007-08,Fabricio Oberto,Player
2007-08,Tony Parker,Player
2007-08,Jeremy Richardson,Player
2007-08,Damon Stoudamire,Player
2007-08,Kurt Thomas,Player
2007-08,Ime Udoka,Player
2007-08,Jacque Vaughn,Player
2007-08,Darius Washington,Player
2007-08,Marcus Williams,Player
2007-08,Brett Brown,Coach
2007-08,Mike Budenholzer,Coach
2007-08,Chip Engelland,Coach
2007-08,Chad Forcier,Coach
2007-08,Don Newman,Coach
2008-09,Blake Ahearn,Player
2008-09,Matt Bonner,Player
2008-09,Bruce Bowen,Player
2008-09,Austin Croshere,Player
2008-09,Tim Duncan,Player
2008-09,Desmon Farmer,Player
2008-09,Michael Finley,Player
2008-09,Manu Ginobili,Player
2008-09,Drew Gooden,Player
2008-09,Malik Hairston,Player
2008-09,George Hill,Player
2008-09,Roger Mason,Player
2008-09,Pops Mensah-Bonsu,Player
2008-09,Fabricio Oberto,Player
2008-09,Tony Parker,Player
2008-09,Kurt Thomas,Player
2008-09,Anthony Tolliver,Player
2008-09,Ime Udoka,Player
2008-09,Jacque Vaughn,Player
2008-09,Marcus Williams,Player
2008-09,Brett Brown,Coach
2008-09,Mike Budenholzer,Coach
2008-09,Chip Engelland,Coach
2008-09,Chad Forcier,Coach
2008-09,Don Newman,Coach
2009-10,DeJuan Blair,Player
2009-10,Keith Bogans,Player
2009-10,Matt Bonner,Player
2009-10,Tim Duncan,Player
2009-10,Michael Finley,Player
2009-10,Manu Ginobili,Player
2009-10,Malik Hairston,Player
2009-10,Marcus Haislip,Player
2009-10,George Hill,Player
2009-10,Cedric Jackson,Player
2009-10,Richard Jefferson,Player
2009-10,Ian Mahinmi,Player
2009-10,Roger Mason,Player
2009-10,Antonio McDyess,Player
2009-10,Tony Parker,Player
2009-10,Theo Ratliff,Player
2009-10,Garrett Temple,Player
2009-10,Brett Brown,Coach
2009-10,Mike Budenholzer,Coach
2009-10,Chip Engelland,Coach
2009-10,Chad Forcier,Coach
2009-10,Don Newman,Coach
2010-11,James Anderson,Player
2010-11,DeJuan Blair,Player
2010-11,Matt Bonner,Player
2010-11,Tim Duncan,Player
2010-11,Alonzo Gee,Player
2010-11,Manu Ginobili,Player
2010-11,Danny Green,Player
2010-11,George Hill,Player
2010-11,Othyus Jeffers,Player
2010-11,Richard Jefferson,Player
2010-11,Antonio McDyess,Player
2010-11,Gary Neal,Player
2010-11,Steve Novak,Player
2010-11,Larry Owens,Player
2010-11,Tony Parker,Player
2010-11,Chris Quinn,Player
