Date,Opponent,PLAYER,MIN,USGP,PFGM,PFGA,P3PM,P3PA,PFTM,PFTA,POREB,PDREB,PREB,PAST,PTO,PSTL,PBLK,PBLKA,PPF,PPFD,PPTS
11/03/2017,Jazz,Andre Roberson,32:19:00,9.6,10.3,7.4,20.0,13.3,8.3,23.5,0.0,12.0,8.8,0.0,11.1,40.0,20.0,0.0,10.0,25.0,10.7
11/03/2017,Jazz,Taj Gibson,22:02,21.5,30.4,22.5,0.0,0.0,20.0,12.5,20.0,26.3,25.0,0.0,20.0,0.0,0.0,100,20.0,28.6,27.3
11/03/2017,Jazz,Steven Adams,31:55:00,13.8,17.9,14.5,0.0,0.0,7.1,10.0,50.0,21.7,29.0,0.0,12.5,28.6,16.7,0.0,16.7,15.4,15.1
11/03/2017,Jazz,Victor Oladipo,38:14:00,19.9,22.9,20.8,50.0,30.0,21.4,21.1,9.1,4.2,5.7,19.0,11.1,20.0,25.0,50.0,14.3,23.1,24.4
11/03/2017,Jazz,Russell Westbrook,36:18:00,45.0,27.3,41.3,60.0,62.5,75.0,59.1,11.1,37.0,30.6,73.7,55.6,28.6,28.6,0.0,7.7,40.0,37.9
11/03/2017,Jazz,Alex Abrines,15:19,8.6,13.3,10.3,25.0,12.5,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,10.0,20.0,13.2
11/03/2017,Jazz,Enes Kanter,18:21,34.3,44.4,34.3,0.0,0.0,0.0,0.0,50.0,50.0,50.0,16.7,50.0,0.0,100,0.0,33.3,0.0,35.6
11/03/2017,Jazz,Domantas Sabonis,11:39,3.9,8.3,4.5,0.0,0.0,0.0,0.0,33.3,33.3,33.3,50.0,0.0,0.0,0.0,0.0,62.5,0.0,6.7
11/03/2017,Jazz,Semaj Christon,17:02,13.1,0.0,16.1,0.0,37.5,0.0,0.0,0.0,14.3,10.0,20.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0
11/03/2017,Jazz,Doug McDermott,04:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
